地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 瑞典 / 加拿大'],['Jason William Lee'],[],[],"['瓦尔特·斯卡斯加德', '哈米莎·威尔希尔', 'Gerard Christopher']",['娱乐之家 Funhouse'],['恐怖'],['5.5'],['155'],[' 英语']
[' 日本'],['白石晃士'],['107'],[],"['玉城蒂娜', '桥本爱实', '乐驱', '磨赤儿', '森七菜', '仁村纱和', '大场美奈', '片岡礼子', '成田瑛基', '藤田富', '波冈一喜']",['地狱少女 地獄少女'],['恐怖'],['4.8'],['505'],[' 日语']
[' 美国'],['安迪·帕尔默'],['86'],['08'],"['丹妮尔·哈丽丝', '查德·迈克尔·墨瑞', '考特尼·盖恩斯', '凯特·琼斯', '迈克尔·埃里克·里德', '康迪斯·德·维瑟', '朱丽叶·吉达', 'Mary Kathryn Bryant', 'Jason Van Eman', 'Corbin Tyler']",['冷溪营地 Camp Cold Brook'],['恐怖'],['4.1'],['121'],[' 英语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['鲍兹·亚金'],['111'],['08'],"['卢克·普拉尔', '斯特林·杰里斯', '威尔·帕顿', '科比·乔治', '卡丁·乔治', '尼古拉斯·J·奥利韦里', '萨曼莎·玛西丝', '罗伯特·约翰·伯克', '纳迪娅·亚历山大', '露西·沃特斯', '坦米·布兰查德', '大卫·阿隆·贝克']",['寄宿学校 Boarding School'],"['悬疑', '恐怖']",['7.3'],['45500'],[' 英语']
[' 加拿大 / 美国'],"['马特·贝蒂内利-奥尔平', '泰勒·吉勒特']",['95'],[],"['萨玛拉·维文', '安迪·麦克道威尔', '马克·奥布莱恩', '亚当·布罗迪', '亨利·科泽尼', '妮基·瓜达尼', '梅兰妮·斯科洛凡诺', '克里斯蒂安·布鲁恩', '伊利斯·莱韦斯克', '约翰·拉尔斯顿', '达妮埃拉·巴博萨', '伊拉娜·盖尔', '安德鲁·安东尼']",['准备好了没 Ready or Not'],"['悬疑', '惊悚', '恐怖']",['6.7'],['53045'],[' 英语']
[' 美国'],['克里斯托弗·兰登'],['100'],[],"['杰西卡·罗德', '伊瑟尔·布罗萨德', '露比·莫迪恩', '苏拉·沙玛', '史蒂夫·齐西斯', '瑞秋·马休斯', '查尔斯·艾特肯', '莎拉·亚金', '凯莱布·斯比尔亚兹', '吉吉·埃内塔', '劳拉·克利夫顿', '温迪·米克洛维奇', '凯勒布·拿奎恩', '肯尼斯·以色列', '泰内娅·因崔亚戈', '布莱恩·克恩', '川川', '卡瑞尔拉·史密斯', '罗布·梅洛', '林赛·G·史密斯', '飞·武', '莎拉·贝纳尼', '杰奎琳·哈里斯·马瑟恩', '西尔维娅·格雷丝·克里姆', '拉姆齐·安德森']",['忌日快乐2 Happy Death Day 2U'],"['悬疑', '惊悚', '恐怖']",['6.6'],['66934'],[' 英语']
[' 美国 / 加拿大'],['朱利叶斯·艾弗里'],['110'],"['09', '11']","['约翰·艾德坡', '怀亚特·罗素', '马蒂尔德·奥利维耶', '皮鲁·埃斯贝克', '约翰·马加罗', '伊恩·德·卡斯泰克', '雅各布·安德森', '多米尼克·阿普尔怀特', '博基姆·伍德拜因', '恩里奇·雷德曼', '马克·麦克肯纳', '海莉·卡迈克尔', '米迦勒·埃普', '罗斯·汤姆林森', '本·特瓦索里', '安迪·韦勒姆', '帕特里克·布拉莫尔', '肖恩·狄克逊', '豪尔赫·莱昂·马丁内斯', '伊娃·马格亚']",['霸主 Overlord'],"['动作', '科幻', '恐怖', '战争']",['6.5'],['17693'],[' 英语 / 俄语 / 法语 / 德语']
[' 法国'],['多米尼克·罗彻'],['93'],['03'],"['安德斯·丹尼尔森·李', '格什菲·法拉哈尼', '德尼·拉旺', '西格丽·博阿茨兹', '大卫·卡门诺斯']",['黑夜吞噬世界 La nuit a dévoré le monde'],['恐怖'],['6.5'],['4587'],[' 挪威语 / 英语']
[' 美国'],['加雷斯·埃文斯'],['130'],['10'],"['丹·史蒂文斯', '麦克·辛', '露西·宝通', '比尔·米尔纳', '理查德·艾尔芬', '克里斯汀·弗劳赛斯', '马克·路易斯·琼斯', '埃伦·里斯', '保罗·希金斯', '罗斯·奥亨尼西', '斯图尔特·麦克尼尔', '安妮斯·埃尔维']",['使徒 Apostle'],"['悬疑', '惊悚', '恐怖']",['6.3'],['4811'],[' 英语']
[' 韩国'],['郑凡植'],['94'],['03'],"['魏化儁', '朴智炫', '吴雅妍', '文艺媛', '朴成焄', '刘帝允', '李承旭']",['昆池岩 곤지암'],['恐怖'],['6.1'],['137462'],[' 韩语']
[' 美国 / 加拿大'],['尼古拉斯·麦卡锡'],['92'],[],"['泰勒·席林', '布列塔尼·艾伦', '杰克逊·罗伯特·斯科特', '科鲁姆·费奥瑞', '彼得·穆尼', '奥妮克·阿德莉', '艾丽莎·莫勒切里', '宝拉·布德罗', '保罗·福托', '戴维·科赫史密斯', '马克·史派克', '迈克尔·戴森']",['神童 The Prodigy'],"['惊悚', '恐怖']",['6.0'],['5953'],[' 英语']
[' 美国'],['加里·多伯曼'],['106'],[],"['维拉·法米加', '帕特里克·威尔森', '麦肯娜·格瑞丝', '麦迪森·伊瑟曼', '凯蒂·萨里费', '迈克尔·西米诺', '萨马拉·李', '肯齐·卡普兰', '萨德·卡塔琳娜', '迈克尔·帕特里克·麦克吉尔', '布列塔尼·霍扎', '希拉·麦克兰', '埃迪·J.费尔南德斯', '斯蒂芬·考特尔', '卢卡·卢汉', '卢·卢·萨夫兰', '安东尼·威姆斯', '娜塔莉·萨福兰', '道格拉斯·泰特', '亚历山大·沃德', '艾米丽·布罗斯特']",['安娜贝尔3：回家 Annabelle Comes Home'],"['悬疑', '惊悚', '恐怖']",['5.9'],['22001'],[' 英语']
[' 韩国'],['金泓善'],['113'],[],"['裴晟祐', '成东日', '张荣男', '金惠濬', '曹怡贤', '金嫝勋']",['变身 변신'],['恐怖'],['5.9'],['6301'],[' 韩语']
[' 美国 / 瑞典'],['吉姆·贾木许'],['104'],[],"['科洛·塞维尼', '亚当·德赖弗', '蒂尔达·斯文顿', '史蒂夫·布西密', '奥斯汀·巴特勒', '比尔·默瑞', '卡赖伯·兰德里·琼斯', '赛琳娜·戈麦斯', '卡罗尔·凯恩', '汤姆·威兹', '罗茜·佩雷兹', '丹尼·格洛弗', '罗伯特·菲茨杰拉德·迪格斯', '伊基·波普', '罗莎尔·卡农', '萨拉·戴维']",['丧尸未逝 The Dead Don&#39;t Die'],"['喜剧', '恐怖']",['5.7'],['12821'],[' 英语']
[' 瑞典 / 加拿大'],['Jason William Lee'],[],[],"['瓦尔特·斯卡斯加德', '哈米莎·威尔希尔', 'Gerard Christopher']",['娱乐之家 Funhouse'],['恐怖'],['5.5'],['155'],[' 英语']
[' 日本'],['白石晃士'],['107'],[],"['玉城蒂娜', '桥本爱实', '乐驱', '磨赤儿', '森七菜', '仁村纱和', '大场美奈', '片岡礼子', '成田瑛基', '藤田富', '波冈一喜']",['地狱少女 地獄少女'],['恐怖'],['4.8'],['505'],[' 日语']
[' 美国'],['安迪·帕尔默'],['86'],['08'],"['丹妮尔·哈丽丝', '查德·迈克尔·墨瑞', '考特尼·盖恩斯', '凯特·琼斯', '迈克尔·埃里克·里德', '康迪斯·德·维瑟', '朱丽叶·吉达', 'Mary Kathryn Bryant', 'Jason Van Eman', 'Corbin Tyler']",['冷溪营地 Camp Cold Brook'],['恐怖'],['4.1'],['121'],[' 英语']
