地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 韩国'],['郑多元'],['107'],[],"['罗美兰', '李圣经', '尹相铉', '崔秀英', '廉惠兰', '魏化儁', '朱宇宰', '姜宏硕', '金道完', '安昌焕', '李贞敏', '朴素恩', '赵炳奎', '成东日', '河正宇', '安宰弘']",['女警 걸캅스'],"['喜剧', '动作', '悬疑', '犯罪']",['6.8'],['21448'],[' 韩语']
[' 美国'],['朗·霍华德'],['135'],"['05', '05']","['阿尔登·埃伦瑞奇', '艾米莉亚·克拉克', '伍迪·哈里森', '唐纳德·格洛弗', '保罗·贝坦尼', '乔纳斯·索塔莫', '菲比·沃勒-布里奇', '沃维克·戴维斯', '坦迪·牛顿', '克林特·霍华德', '伊安·肯尼', '理查德·迪克森']",['游侠索罗：星球大战外传 Solo: A Star Wars Story'],"['动作', '科幻', '冒险']",['6.8'],['50857'],[' 英语']
[' 日本'],['佐藤信介'],['127'],['04'],"['木梨宪武', '佐藤健', '本乡奏多', '二阶堂富美', '三吉彩花', '福崎那由他', '滨田麻里', '齐藤由贵', '伊势谷友介']",['犬屋敷 真人版 いぬやしき'],"['动作', '科幻']",['6.7'],['9246'],[' 日语']
[' 中国大陆'],['陈思诚'],['121'],['02'],"['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤', '王迅', '妻夫木聪', '迈克尔·皮特', '白灵', '元华', '曾江', '王成思', '杨金赐', '范湉湉', '佟丽娅', '陈思诚']",['唐人街探案2'],"['喜剧', '动作', '悬疑']",['6.7'],['696084'],[' 汉语普通话']
[' 韩国'],['孙容镐'],['114'],[],"['马东锡', '金相中', '金雅中', '张基龙', '姜艺媛']",['坏家伙们 나쁜 녀석들'],"['动作', '犯罪']",['6.6'],['17268'],[' 韩语']
[' 中国大陆'],['五百'],['107'],[],"['王千源', '包贝尔', '王迅', '王砚辉', '屈菁菁', '周游', '韩烨洲', '盖玥希', '刘敏涛', '梅婷', '潘粤明', '乔振宇', '景岗山', '杜源', '高捷', '寇占文', '刘天佐', '马浴柯', '霍青', '邢瀚卿', '李蓓蕾', '万沛鑫', '张皓然', '谢孟伟', '姜寒', '肖涵', '吕晓霖', '马京京', '黎宇航', '成方旭', '王子清', '王昱涵', '王昱淇', '郭紫铭', '要武', '滕根', '张奥']",['“大”人物'],"['动作', '犯罪']",['6.5'],['175339'],[' 汉语普通话']
[' 美国 / 加拿大'],['朱利叶斯·艾弗里'],['110'],"['09', '11']","['约翰·艾德坡', '怀亚特·罗素', '马蒂尔德·奥利维耶', '皮鲁·埃斯贝克', '约翰·马加罗', '伊恩·德·卡斯泰克', '雅各布·安德森', '多米尼克·阿普尔怀特', '博基姆·伍德拜因', '恩里奇·雷德曼', '马克·麦克肯纳', '海莉·卡迈克尔', '米迦勒·埃普', '罗斯·汤姆林森', '本·特瓦索里', '安迪·韦勒姆', '帕特里克·布拉莫尔', '肖恩·狄克逊', '豪尔赫·莱昂·马丁内斯', '伊娃·马格亚']",['霸主 Overlord'],"['动作', '科幻', '恐怖', '战争']",['6.5'],['17693'],[' 英语 / 俄语 / 法语 / 德语']
[' 美国 / 新西兰'],['克里斯蒂安·瑞沃斯'],['128'],['12'],"['海拉·西尔玛', '雨果·维文', '金智海', '罗伯特·席安', '莱拉·乔治', '史蒂芬·朗', '弗兰基·亚当斯', '凯伦·皮斯托里斯', '科林·萨蒙', '安德鲁斯·李斯', '莎拉·慕恩', '罗南·拉夫特瑞', '乔尔·托贝克', '帕特里克·麦拉海德', '史蒂芬·乌瑞', '马尼克·古纳拉塔尼', '菲利普·里夫', '纳撒尼尔·利斯', '雷吉-让·佩吉', '卡卢姆·吉廷斯', '安柚鑫', '马克·哈德洛', '马克米钦森', '索菲·考克斯', '莎拉·皮尔斯', '奇·陈', '约瑟夫·米卡-亨特', '特里·诺瑞斯', '安龙·杰克森', '梅根·爱德华兹', '尼克·布雷克', '玛丽亚·沃克', '阿曼·韦弗', '玛德琳·亚当斯', '马丁·郭', '罗德尼·库克']",['掠食城市 Mortal Engines'],"['动作', '科幻', '冒险']",['6.4'],['52441'],[' 英语']
[' 英国 / 比利时'],['阿布内尔·帕斯托尔'],['97'],[],"['莎拉·伯格', '爱德华·霍格', '安德鲁·辛普森']",['好人难寻 A Good Woman Is Hard to Find'],"['动作', '惊悚']",['6.4'],['1010'],[' 英语']
[' 美国'],['J·C·尚多尔'],['125'],[],"['本·阿弗莱克', '查理·汉纳姆', '佩德罗·帕斯卡', '奥斯卡·伊萨克', '加内特·赫德兰', '阿德里娅·阿霍纳', '希拉·凡德', '雷纳尔多·加列戈斯', '克里斯汀·霍恩', '穆罕默德·哈肯沙迪', '迈克尔·本杰明·埃尔南德斯', '佩德罗·洛佩兹', '肖恩·麦克布莱德', '杰森·奎恩', '卡洛斯·利纳雷斯']",['三方国界 Triple Frontier'],"['动作', '犯罪', '冒险']",['6.4'],['15134'],[' 英语 / 西班牙语 / 葡萄牙语']
[' 韩国'],['韩俊熙'],['133'],[],"['孔晓振', '柳俊烈', '曹政奭', '廉晶雅', '全慧珍', '金起范', '孙锡久']",['逃组 뺑반'],['动作'],['6.4'],['6974'],[' 韩语']
[' 美国'],['迈克尔·贝'],['127'],[],"['瑞恩·雷诺兹', '本·哈迪', '梅拉尼·罗兰', '阿德里娅·阿霍纳', '戴夫·弗兰科', '科里·霍金斯', '塞巴斯蒂安·罗奇', '曼努埃尔·加西亚-鲁尔福', '詹姆斯·莫瑞', '利奥·拉兹', '埃莱娜·卡多纳', '佩曼·莫阿迪', '尤里·科洛科利尼科夫', '金·柯尔德', '丹尼尔·阿德博伊加', '詹姆斯·卡罗尔·乔丹', '康斯坦丁·格雷戈里', '彼得·阿佩塞拉', '托多尔·乔丹诺夫', '里纳特·希什马塔林', '莉迪亚·佛朗哥', '罗杰·内瓦雷斯', '舒巴姆·沙拉夫']",['鬼影特攻：以暴制暴 6 Underground'],"['动作', '惊悚']",['6.3'],['24314'],[' 英语 / 土库曼语 / 粤语 / 意大利语 / 西班牙语 / 乌克兰语 / 法语']
[' 美国'],['大卫·雷奇'],['137'],[],"['道恩·强森', '杰森·斯坦森', '伊德里斯·艾尔巴', '凡妮莎·柯比', '艾莎·冈萨雷斯', '海伦·米伦', '瑞恩·雷诺兹', '凯文·哈特', '埃迪·马森', '罗曼·雷恩斯', '斯蒂芬妮·沃格特', '维克托里娅·菲斯', '康兰·卡萨尔', '海伦娜·福尔摩斯', '伯纳多·桑托斯', '露丝·霍洛克斯', '大卫·穆梅尼', '马诺伊·阿南德', '阿玛尔·阿达蒂亚', '朱利安·费罗', '丹尼尔·厄根', '拉普洛斯·卡伦福佐斯', '阿克塞尔·努', '史蒂夫·莱温顿', '安东尼奥·曼奇诺', '斯特拉·斯托克尔', '克利夫·柯蒂斯']",['速度与激情：特别行动 Fast &amp; Furious Presents: Hobbs &amp; Shaw'],"['动作', '犯罪']",['6.3'],['202686'],[' 英语 / 萨摩亚语 / 俄语']
[' 中国大陆 / 中国香港'],['文伟鸿'],['98'],[],"['张家辉', '古天乐', '吴镇宇', '姜珮瑶', '张亦驰', '刘宇宁', '黄志忠', '蔡洁', '马德钟', '袁伟豪', '陈山聪', '王君馨', '张宝儿', '江嘉敏', '李忠希', '刘楚恬', '欧瑞伟', '郑启泰', '黄祥兴', '徐荣', '林伟', '吴瑞庭', '卫志豪', '黎振烨', '汤洛雯', '许绍雄', '关婉珊']",['使徒行者2：谍影行动'],"['剧情', '动作', '犯罪']",['6.3'],['161171'],[' 粤语 / 汉语普通话']
[' 中国大陆'],['崔斯韦'],['111'],['10'],"['张震', '倪妮', '廖凡', '黄觉', '刘桦', '张奕聪', '李光洁', '岳小军', '昌隆']",['雪暴'],"['动作', '悬疑', '犯罪']",['6.2'],['52669'],[' 汉语普通话']
[' 中国大陆 / 澳大利亚'],['徐顺利'],['125'],[],"['王志文', '余男', '李立群', '许亚军', '夏克立', '高捷', '余皑磊', '赵铭岳', '白澍', '王冠杰', '康斯坦丁·科玖霍夫', '法比安·卢查瑞尼']",['最长一枪'],"['剧情', '动作']",['6.1'],['14214'],[' 汉语普通话']
[' 中国大陆 / 中国香港'],['徐克'],['132'],['07'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['狄仁杰之四大天王'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['6.1'],['234376'],[' 汉语普通话']
[' 中国大陆 / 中国香港'],['邱礼涛'],['99'],[],"['刘德华', '古天乐', '苗侨伟', '林嘉欣', '周秀娜', '应采儿', '陈家乐', '卫诗雅', '郑则仕', '张国强', '陈佩诗', '狼森', '欧阳靖', '恭硕良', '林家栋', '李赏', '张竣杰', '李灿森', '谭小环']",['扫毒2天地对决 掃毒2：天地對決'],"['剧情', '动作', '悬疑', '犯罪']",['6.0'],['203407'],[' 汉语普通话 / 粤语']
[' 美国'],['罗阿尔·乌索格'],['118'],['03'],"['艾丽西亚·维坎德', '多米尼克·韦斯特', '沃尔顿·戈金斯', '吴彦祖', '克里斯汀·斯科特·托马斯', '汉娜·乔恩-卡门', '尼克·弗罗斯特', '德里克·雅各比', '安东尼奥·阿克儿', '亚历山大·维尧姆', '杰美·温斯顿', '迈克尔·奥拜奥拉', '艾米丽·凯里', '肯尼思·霍']",['古墓丽影：源起之战 Tomb Raider'],"['动作', '冒险']",['6.0'],['130273'],[' 英语']
[' 韩国'],['禹民镐'],['139'],['12'],"['宋康昊', '曹政奭', '裴斗娜', '金素真', '金大明', '李星民', '李姬珍', '赵宇镇', '尹宰文', '宋永彰', '金海坤', '李仲玉', '李熙俊', '朴庆惠']",['麻药王 마약왕'],"['剧情', '动作', '犯罪']",['5.9'],['10279'],[' 韩语 / 日语']
[' 中国大陆'],['丁晟'],['109'],[],"['凌潇肃', '贾乃亮', '金晨', '张云龙', '刘俊孝', '刘文擘', '蔡心', '王泊文', '常戎', '赵小锐', '那尔那茜', '唐羽翰', '丁一', '淳于珊珊', '罗伯特·克耐普', '桑平', '马浴柯', '乔振宇', '张亮']",['特警队'],['动作'],['5.2'],['22109'],[' 汉语普通话']
[' 中国大陆'],['刘仪伟'],['99'],['03'],"['小沈阳', '陈意涵', '吴樾', '连凯', '罗海琼', '李易祥', '朱云峰', '刘仪伟']",['我说的都是真的'],"['喜剧', '动作', '悬疑']",['4.8'],['9182'],[' 汉语普通话']
[' 中国大陆 / 中国香港'],['丁晟'],['114'],['01'],"['王凯', '马天宇', '王大陆', '余皑磊', '林雪', '吴樾', '李梦', '张艺上', '姜珮瑶', '李岷城', '宁浩', '韩寒', '丁晟', '曾志伟']",['英雄本色2018'],"['剧情', '动作']",['4.7'],['36318'],[' 汉语普通话']
[' 中国大陆 / 中国香港'],['张家辉'],['112'],['04'],"['张家辉', '徐静蕾', '何炅', '余男', '苗侨伟', '元华', '林雪', '张可颐']",['低压槽：欲望之城 低壓槽'],"['剧情', '动作', '悬疑', '犯罪']",['4.4'],['14690'],[' 汉语普通话 / 粤语 / 英语 / 泰语']
[' 中国大陆'],['宁海强'],['96'],"['11', '06']","['徐洪浩', '一龙', '彭凌', '沈浩', '王韬', '聂远', '曹凯', '王强', '郑卫莉', '伊莉莎', '达丽雅', '一二先生', '尚', '蔡明凯', '龙天', '穆雷克']",['中国蓝盔'],"['剧情', '动作', '战争']",['3.5'],['6245'],[' 汉语普通话']
[' 中国大陆'],['张鹏'],['141'],['07'],"['吴磊', '梁家辉', '刘嘉玲', '张艺上', '冯嘉怡', '明道', '董琦', '多布杰']",['阿修罗'],"['动作', '爱情', '奇幻']",['3.1'],['16399'],[' 汉语普通话']
