地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['彼得·法雷里'],['130'],"['09', '11']","['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·库瑞', '托尼亚·马尔多纳多']",['绿皮书 Green Book'],"['剧情', '喜剧', '传记']",['8.9'],['1067982'],[' 英语 / 意大利语 / 俄语 / 德语']
[' 美国'],['马丁·斯科塞斯'],['209'],[],"['罗伯特·德尼罗', '阿尔·帕西诺', '乔·佩西', '安娜·帕奎因', '杰西·普莱蒙', '哈威·凯特尔', '斯蒂芬·格拉汉姆', '鲍比·坎纳瓦尔', '杰克·休斯顿', '阿莱卡萨·帕拉迪诺', '凯瑟琳·纳杜奇', '多米尼克·隆巴多兹', '雷·罗马诺', '塞巴斯蒂安·马尼斯科', '杰克·霍夫曼', '保罗·本-维克托', '斯蒂芬妮·库尔特祖巴', '莎伦·菲弗', '路易斯·坎瑟米', '茵迪亚·恩能加', 'J.C.麦肯泽', '巴里·普赖默斯', '吉姆·诺顿', '盖里·巴萨拉巴', '玛格丽特·安妮·佛罗伦斯', '约翰·斯库蒂', '约翰·塞纳迭姆博', '大卫·阿隆·贝克', '桃乐丝·麦卡锡', '凯文·凯恩', '加里·帕斯托雷', '约瑟夫·罗素', '凯文·奥罗克', '娜塔莎·罗曼诺娃', '杰里米·卢克', '凯莉·P·威廉姆斯', '詹妮弗·马奇', '保罗·鲍格才', '蒂姆·内夫', '斯蒂芬·梅尔勒', '克雷格·文森特', '比利·史密斯', '布莱斯·科里根', '斯泰西·爱丽丝·科恩', '吉诺·卡法雷利', '拉里·罗曼诺', '罗伯特·富纳罗', '维罗妮卡·阿利奇诺', '克劳黛特·拉利', '詹姆斯·洛林兹', '阿什莉·诺斯', '肯·斯拉迪克', '帕特里克·加洛']",['爱尔兰人 The Irishman'],"['剧情', '传记', '犯罪']",['8.8'],['185677'],[' 英语 / 意大利语 / 拉丁语 / 西班牙语']
[' 英国 / 意大利'],['费尔南多·梅里尔斯'],['125'],[],"['安东尼·霍普金斯', '乔纳森·普雷斯', '胡安·米努欣', '路易斯·尼科', '克里斯蒂娜·巴尼加斯', '玛丽亚·乌斯多', '雷纳托·斯卡帕', '西德尼·科尔', '阿基里·布鲁尼尼', '费德里科·托瑞', '赫尔曼·德·席尔瓦', '利桑德罗·菲克斯', '利贝罗·德·瑞恩佐', '威利·乔纳', '索非亚·塞萨克', '文森特·里奥特', '塞奇莉亚·达齐', '塞尔吉奥·尼古拉', '洛伦佐·维格万诺', '教皇本尼迪克特十六世', '方济各']",['教宗的承继 The Two Popes'],"['剧情', '传记']",['8.6'],['33489'],[' 拉丁语 / 英语 / 西班牙语 / 意大利语 / 法语 / 葡萄牙语 / 德语']
[' 日本'],['加藤拓'],['73'],[],"['松田龙平', '冈部崇', '中村友理', '奈绪', '金世佳', '任洛敏', '邱必昌']",['异乡人：上海的芥川龙之介 ストレンジャー～上海の芥川龍之介～'],"['剧情', '传记']",['8.6'],['9842'],[' 日语']
[' 美国'],['米密·莱德'],['120'],['12'],"['菲丽希缇·琼斯', '艾米·汉莫', '贾斯汀·塞洛克斯', '萨姆·沃特森', '凯西·贝茨', '卡莉·史派妮', '杰克·莱诺', '斯蒂芬·鲁特', '克里斯·马尔基', '加里·韦恩兹', '弗朗西斯·X·麦卡蒂', '罗纳德·格特曼', '温迪·古逊', '约翰·拉尔斯顿', '卡尔·格拉戈萨斯', '亚瑟·霍尔顿', '安吉拉·嘉鲁皮', '乔迪·约翰逊', '杰夫·利利科', '乔·柯布登 ', '莎珑·华盛顿', '瓦罗娜·塞茨瓦埃洛', '阿伦·奥阿约-斯图尔特', '霍莉·G·弗兰克尔', '汤姆·埃尔文', '斯蒂芬妮·科斯塔', '拉斐尔·格罗斯-哈维', '罗伯特·J·塔维纳', '加布里埃尔·格雷厄姆', '丹尼尔·布罗克', '道恩·福特', '迈克尔·迪克森', '亚历山大·贝朗格', '鲁斯·巴德·金斯伯格']",['性别为本 On the Basis of Sex'],"['剧情', '传记']",['7.6'],['8521'],[' 英语']
[' 英国'],['鲁伯特·古尔德'],['118'],[],"['蕾妮·齐薇格', '贝拉·拉姆齐', '卢夫斯·塞维尔', '杰西·巴克利', '迈克尔·刚本', '勒温·劳埃德', '芬·维特洛克', '安迪·尼曼', '费奈拉·伍尔加', '罗伊斯·皮尔逊', '约翰·达格尔什', '菲尔·邓斯特', '露西·拉塞尔', '嘉玛-莉亚·德弗罗', '菲利普·斯波', '蒂姆·埃亨', '宾利·卡鲁', '朱利安·费罗', '伊斯雷尔·鲁兹']",['朱迪 Judy'],"['剧情', '爱情', '传记']",['7.5'],['26385'],[' 英语']
[' 英国 / 美国 / 加拿大'],['德克斯特·弗莱彻'],['121'],[],"['塔伦·埃哲顿', '杰米·贝尔', '理查德·麦登', '布莱丝·达拉斯·霍华德', '斯蒂文·麦金托什', '查理·罗', '哈丽特·瓦尔特', '维克托里娅·菲斯', '杰玛·琼斯', '汤姆·班尼特', '朱利安·费罗', '莱顿·威廉姆斯', '基特·康纳', '卡米尔·雷米泽斯基', '贝恩·科拉科', '齐亚德·阿巴扎', '伊斯雷尔·鲁兹', '拉斯科·阿特金斯', '格雷厄姆·弗莱彻-库克', '史蒂威·戴维斯']",['火箭人 Rocketman'],"['剧情', '同性', '音乐', '传记']",['7.2'],['15627'],[' 英语']
[' 美国'],['玛丽埃尔·海勒'],['106'],"['09', '10']","['梅丽莎·麦卡西', '理查德·E·格兰特', '多莉·韦尔斯', '本·法尔科内', '格里高利·克洛斯蒂舍夫斯基', '简·库丁', '斯蒂芬·斯皮内拉', '克里斯蒂安·纳瓦罗', '普·班德赫', '埃里克·拉雷·哈维', '布兰登·斯科特·琼斯', '雪伊·德林恩', '罗莎尔·卡农', '安娜·迪佛·史密斯', '马克·埃文·杰克逊', 'Marcella Lowery', '罗伯塔·瓦拉赫', '蒂娜·本科', '乔安娜·阿德勒', '迈克尔·西里尔·克赖顿', '爱丽丝·克雷梅尔堡', '露西·德维托', '贾斯汀·邦德', '马米·科西科', '扎布丽娜·格瓦拉', 'Ron Maestri', '阿曼德·里斯科', 'Liz Eng', '桃乐丝·麦卡锡', 'Bill Walters']",['你能原谅我吗？ Can You Ever Forgive Me?'],"['剧情', '喜剧', '传记', '犯罪']",['7.2'],['7756'],[' 英语']
[' 中国大陆'],['王路沙'],['96'],[],"['李肖宁', '契那日图', '李春明', '塔娜花日', '刚照日嘎', '白那日苏', '阿古', '刘鹏云']",['红色之子·单刀赴会'],"['动作', '传记', '历史']",['7.1'],['807'],[]
