地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['石原立也'],['94'],['01'],"['福山润', '内田真礼', '赤崎千夏', '浅仓杏美', '上坂堇', '长妻树里', '仙台惠理', '大塚芳忠', '保志总一朗', '岩男润子', '福原香织', '天野由梨', '冲佳苗', '井上喜久子', '设乐麻美', '山冈百合']",['中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-'],"['喜剧', '爱情', '动画']",['8.6'],['5421'],[' 日语 / 意大利语']
[' 中国大陆'],['曾国祥'],['135'],[],"['周冬雨', '易烊千玺', '尹昉', '周也', '吴越', '黄觉', '张艺凡', '张耀', '张歆怡', '赵润南', '郜玄铭', '谢欣桐', '刘然', '何廖侣匀', '胖虎', '罗俊林']",['少年的你'],"['剧情', '爱情', '犯罪']",['8.3'],['1052636'],[' 汉语普通话']
[' 美国'],['格里格·伯兰蒂'],['110'],['03'],"['尼克·罗宾森', '詹妮弗·加纳', '乔什·杜哈明', '小豪尔赫·兰登伯格', '凯瑟琳·兰福德', '亚历山德拉·希普', '洛根·米勒', '凯南·朗斯代尔', '特丽莎·贝特曼', '托尼·海尔', '娜塔莎·罗斯韦尔', '迈尔斯·赫尔泽', '乔伊·保罗瑞', '克拉克·穆尔', '德鲁·斯塔基', '麦肯兹·林茨', '卡萨迪·麦克林西', '艾莉克斯·斯甘巴蒂', '贾米拉·汤普森', '艾米丽·乔丹', '帕特里克·多诺霍', '特雷勒·希尔', '泰勒·切斯', '哈龙·汗', '约书亚·米克尔', '尼古拉斯·斯塔格尔', '南茜·德·梅奥', '克里斯蒂安·奥乔·梅菲尔德', '钱特尔·D·克里斯托弗', '曼迪·法森', '菲利普·科文', '罗比·罗杰斯']","['爱你，西蒙 Love, Simon']","['喜剧', '爱情', '同性']",['8.3'],['175942'],[' 英语']
[' 法国'],['尼古拉斯·贝多斯'],['115'],[],"['丹尼尔·奥特伊', '吉约姆·卡内', '多莉亚·蒂利耶', '芬妮·阿尔丹', '皮埃尔·阿迪提', '德尼·波达利德斯']",['美好年代 La belle époque'],"['剧情', '喜剧', '爱情']",['8.1'],['11358'],[' 法语']
[' 韩国'],['郑址宇'],['122'],[],"['金高银', '丁海寅', '朴海俊', '金国熙', '郑幼贞', '崔俊英']",['柳烈的音乐专辑 유열의 음악앨범'],"['剧情', '爱情']",['7.8'],['40897'],[' 韩语']
[' 美国'],['伍迪·艾伦'],['92'],[],"['蒂莫西·柴勒梅德', '艾丽·范宁', '赛琳娜·戈麦斯', '裘德·洛', '迭戈·卢纳', '列维·施瑞博尔', '苏琪·沃特豪斯', '凯莉·罗尔巴赫', '丽贝卡·豪尔', '安娜莱吉·阿什福特', '切莉·琼斯', '葛瑞芬·纽曼', '凯瑟琳·利·斯科特', '娜塔莎·罗曼诺娃', '维尔·罗杰斯', '雅各布·伯格', '克里斯·班克斯', '艾恩斯利·丹恩', '马科·查卡', '达里尔·鲁本·霍尔', '泰勒·布莱克', '唐·斯蒂芬森']",['纽约的一个雨天 A Rainy Day in New York'],"['喜剧', '爱情']",['7.5'],['66230'],[' 英语']
[' 英国'],['鲁伯特·古尔德'],['118'],[],"['蕾妮·齐薇格', '贝拉·拉姆齐', '卢夫斯·塞维尔', '杰西·巴克利', '迈克尔·刚本', '勒温·劳埃德', '芬·维特洛克', '安迪·尼曼', '费奈拉·伍尔加', '罗伊斯·皮尔逊', '约翰·达格尔什', '菲尔·邓斯特', '露西·拉塞尔', '嘉玛-莉亚·德弗罗', '菲利普·斯波', '蒂姆·埃亨', '宾利·卡鲁', '朱利安·费罗', '伊斯雷尔·鲁兹']",['朱迪 Judy'],"['剧情', '爱情', '传记']",['7.5'],['26385'],[' 英语']
[' 法国 / 比利时'],['弗朗克·迪博斯克'],['107'],['03'],"['弗朗克·迪博斯克', '亚历山德拉·拉米', '艾尔莎·泽贝斯坦', '热拉尔·达尔蒙', '卡洛琳·安格鲁德', '洛朗·巴图', '克洛德·布拉瑟', '弗朗索瓦-格扎维埃·德梅松', '克里斯托弗·卡纳德', '弗朗西斯·科菲内', '源利华', '菲利普·维约']",['真爱百分百 Tout le monde debout'],"['喜剧', '爱情']",['7.5'],['8609'],[' 法语 / 英语 / 意大利语']
[' 法国'],['克洛德·勒卢什'],['90'],[],"['让-路易·特兰蒂尼昂', '阿努克·艾梅', '玛丽安娜·德尼库尔', '莫妮卡·贝鲁奇', '苏德·阿米多', 'Antoine Sire', 'Tess Lauvergne', 'Vincent Vinel', 'Bernard Warnas', 'Laurent Dassault', 'Laurent Prudhomme', 'Benjamin Patou', 'Jean-Yves Cressenville']",['最美年华 Les plus belles années d&#39;une vie'],"['剧情', '爱情']",['7.4'],['578'],[' 法语']
[' 日本 / 法国'],['滨口龙介'],['119'],"['05', '09']","['东出昌大', '唐田英里佳', '濑户康史', '山下莉绪', '伊藤沙莉', '渡边大知', '仲本工事', '田中美佐子']",['夜以继日 寝ても覚めても'],"['剧情', '爱情']",['7.4'],['20375'],[' 日语']
[' 美国'],['布莱德利·库珀'],['135'],"['08', '10']","['Lady Gaga', '布莱德利·库珀', '山姆·艾里奥特', '安德鲁·戴斯·克雷', '拉菲·格拉沃恩', '安东尼·拉莫斯', '大卫·查普尔', '亚历克·鲍德温', '马龙·威廉姆斯', '布兰迪·卡莉', '朗·瑞弗金', '巴里·沙巴卡·亨利', '迈克尔·D·罗伯茨', '迈克尔·哈尔尼', '丽贝卡·菲尔德', '威廉·贝利', '格雷戈·格伦伯格', 'D·J·尚格拉·皮尔斯', '德瑞娜·德尼罗', '艾迪·格里芬', '哈尔希', '马修·利巴提克', '路奈尔·坎贝尔', '唐·渥斯', '伦尼·卡斯特罗', '唐·罗伊·金', '格雷戈里·斯卡尔尼奇', '弗兰克·安妮罗', '杰尔马诺·布兰科', '梅根·豪恩', '马克·查普曼', '史蒂文·西塞罗', '阿曼达·菲尔茨', '阿尔弗雷德·加比杜林', '弗雷德里克·基夫']",['一个明星的诞生 A Star Is Born'],"['剧情', '爱情', '音乐']",['7.3'],['97451'],[' 英语']
[' 韩国'],['金涵潔'],['109'],[],"['金来沅', '孔晓振', '姜其永', '郑雄仁', '张素妍', '周敏京', '吴东旻', '裴贤圣', '李在恩', '郑惠莲', '孙武铉', '朴根祿']",['最普通的恋爱 가장보통의 연애'],"['喜剧', '爱情']",['7.2'],['10157'],[' 韩语']
[' 日本'],['新海诚'],['111'],[],"['醍醐虎汰朗', '森七菜', '小栗旬', '本田翼', '倍赏千惠子', '吉柳咲良', '平泉成', '梶裕贵', '木村良平', '柴田秀胜', '野泽雅子', '花泽香菜', '佐仓绫音']",['天气之子 天気の子'],"['爱情', '动画', '奇幻']",['7.1'],['178180'],[' 日语']
[' 日本'],['荒井晴彦'],['115'],[],"['柄本佑', '泷内公美']",['火口的两人 火口のふたり'],['爱情'],['7.1'],['23364'],[' 日语']
[' 日本'],['今泉力哉'],['123'],['10'],"['岸井雪乃', '成田凌']",['爱情是什么 愛がなんだ'],"['剧情', '爱情']",['7.1'],['5873'],[' 日语']
[' 英国 / 美国'],['欧·帕克'],['114'],"['08', '07']","['莉莉·詹姆斯', '阿曼达·塞弗里德', '朱丽·沃特斯', '克里斯汀·芭伦斯基', '皮尔斯·布鲁斯南', '斯特兰·斯卡斯加德', '科林·费尔斯', '多米尼克·库珀', '杰瑞米·艾文', '亚历克萨·戴维斯', '杰西卡·基南·温', '乔什·迪伦', '休·斯金纳', '雪儿', '梅丽尔·斯特里普', '安迪·加西亚', '西莉亚·伊姆里', '欧米德·吉亚李利', '杰拉德·摩纳科', '森尚子', '伊川东吾', '阿纳斯塔西娅·希尔', '苏珊娜·巴克莱德', '乔纳森·戈德史密斯', '凯西·克莱尔', '班尼·安德森', '戴尔·布兰斯顿', '亚历珊德拉·福特']",['妈妈咪呀2 Mamma Mia! Here We Go Again'],"['喜剧', '爱情', '歌舞']",['7.0'],['23096'],[' 英语 / 法语 / 希腊语']
[' 英国 / 美国 / 德国'],['詹姆斯·肯特'],['108'],[],"['亚历山大·斯卡斯加德', '凯拉·奈特莉', '杰森·克拉克', '凯特·菲利普斯', '费昂·奥谢', '雅尼克·许曼', '亚历山大·谢尔', '吉姆·海伊', '弗雷德里克·普雷斯顿', '汤姆·贝尔', 'Abigail Rice', 'Logan Hillier', 'Flora Thiemann', 'Joseph Arkley', '克劳迪娅·瓦西科娃']",['余波 The Aftermath'],"['剧情', '爱情', '战争']",['6.6'],['5075'],[' 英语']
[' 中国大陆'],['刘畅'],['90'],[],"['张樟', '邓郁立', '方文强', '叶子诚', '李欢', '张超', '李婷婷', '陈博豪', '孙嘉灵', '李九霄', '龚锐']",['独家记忆番外之再见爱'],['爱情'],['6.5'],['3900'],[' 汉语普通话']
[' 中国大陆'],['冯小刚'],['132'],[],"['黄轩', '杨采钰', '徐帆', '莉迪亚·佩克汉', '赵淑珍', '张洪杰', '茹萍']",['只有芸知道'],"['剧情', '爱情']",['6.4'],['129011'],[' 汉语普通话 / 英语']
[' 美国'],['麦克·道尔'],['94'],[],"['凯特·沃什', '科林·唐纳', '约翰·道曼', '奥古斯图斯·珀如', '纳迪雅·达珍妮', '斯科特·埃文斯', '克里斯·亨利·科菲', '吉普森·弗雷泽', '玛丽琳·索科尔', '杰克·欧康纳', 'Chaz Lamar Shepherd', 'Brian Marc', 'Michelle Buteau', '克里斯托弗·格雷']",['恋爱保质期 Almost Love'],"['喜剧', '爱情']",['6.4'],['222'],[' 英语']
[' 泰国'],['楚克·萨克瑞科'],['123'],[],"['Polnat Boonma', '雅琳达·邦恩纳克', 'Yarinda Bunnag', 'Apasiri Chantrasmi', '萨达农·杜隆卡沃', 'Pawat Jitsawangdee', '苏格拉瓦·卡那诺', 'Pantach Kankham', 'Darisa Karnpob', 'Jessada Kowiboonchai', 'Nattapong Kulsathid', 'Maytichai Nangwong', 'Chanakarn Niruttipaworn', 'Patchamon Park', '欧帕瓦·吉沙晚迪']",['譬如朝露 ดิว ไปด้วยกันนะ'],"['剧情', '爱情', '同性']",['6.3'],['4012'],[' 泰语']
[' 日本'],['月川翔'],['105'],['04'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['邻座的怪同学 となりの怪物くん'],"['剧情', '喜剧', '爱情']",['6.2'],['15206'],[' 日语']
