地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['666997'],[' 印地语 / 英语']
[' 美国'],['莱恩·约翰逊'],['130'],[],"['丹尼尔·克雷格', '安娜·德·阿玛斯', '克里斯·埃文斯', '杰米·李·柯蒂斯', '迈克尔·珊农', '唐·约翰逊', '托妮·科莱特', '勒凯斯·斯坦菲尔德', '克里斯托弗·普卢默', '凯瑟琳·兰福德', '杰登·马泰尔', '瑞琪·琳德赫姆', '艾迪·帕特森', '弗兰克·奥兹', 'K·卡兰', '诺阿·西甘', 'M·埃梅特·沃尔什', '玛琳娜·福特', '劳尔·卡斯提洛', '雪莉·罗德里格斯', '约瑟夫·高登-莱维特', '加布里埃尔·洛莱斯']",['利刃出鞘 Knives Out'],"['剧情', '喜剧', '悬疑', '犯罪']",['8.2'],['500756'],[' 英语 / 西班牙语']
[' 日本'],[],['45'],[],"['原田知世', '田中圭', '浅香航大', '皆川猿时']",['轮到你了 特别篇 あなたの番です 特別編'],"['剧情', '悬疑']",['8.0'],['23795'],[' 日语']
[' 西班牙'],['奥里奥尔·保罗'],['128'],['11'],"['阿德里亚娜·乌加特', '奇诺·达林', '阿尔瓦罗·莫奇', '诺拉·纳瓦斯', '哈维尔·古铁雷斯', '米格尔·费南德斯', '克拉拉·塞古拉', '米玛·里埃拉', '艾娜·克洛特', '阿尔伯特·佩雷斯', '弗兰塞斯克·奥雷利亚', '阿娜·瓦格纳', '西尔维亚·阿隆索', '贝伦·鲁埃达']",['海市蜃楼 Durante la tormenta'],"['科幻', '悬疑', '惊悚']",['7.8'],['267767'],[' 西班牙语']
[' 中国大陆'],['柯汶利'],['112'],[],"['肖央', '谭卓', '陈冲', '姜皓文', '秦沛', '边天扬', '许文姗', '张熙然', '施名帅', '黄健玮']",['误杀'],"['剧情', '悬疑', '犯罪']",['7.7'],['536419'],[' 汉语普通话']
[' 美国'],['鲍兹·亚金'],['111'],['08'],"['卢克·普拉尔', '斯特林·杰里斯', '威尔·帕顿', '科比·乔治', '卡丁·乔治', '尼古拉斯·J·奥利韦里', '萨曼莎·玛西丝', '罗伯特·约翰·伯克', '纳迪娅·亚历山大', '露西·沃特斯', '坦米·布兰查德', '大卫·阿隆·贝克']",['寄宿学校 Boarding School'],"['悬疑', '恐怖']",['7.3'],['45500'],[' 英语']
[' 美国 / 南非'],['亚当·罗比特尔'],['99'],[],"['泰勒·拉塞尔', '洛根·米勒', '黛博拉·安沃尔', '泰勒·莱伯恩', '杰·埃利斯', '尼克·多达尼', '杰西卡·萨顿', '约里克·范·韦杰宁根', '杰米-李·蒙尼', '亚当·罗比特尔', '韦尔·廷德尔', '肯尼思·霍', '科尼利厄斯·吉尼', '保罗·汉普赛尔', '佩泰·塞彭克', '丹·格伦伯格', '吉诺·李']",['密室逃生 Escape Room'],"['悬疑', '惊悚']",['7.2'],['187068'],[' 英语']
[' 美国'],"['约翰·弗朗西斯·戴利', '乔纳森·M·戈尔茨坦']",['100'],['02'],"['杰森·贝特曼', '瑞秋·麦克亚当斯', '凯尔·钱德勒', '莎朗·豪根', '比利·马格努森', '拉蒙尼·莫里斯', '凯莉·班伯里', '杰西·普莱蒙', '迈克尔·C·豪尔', '丹尼·赫斯顿', '切尔西·帕瑞蒂', '卡米利·陈', '泽瑞克·威廉姆斯', '约书亚·米克尔', 'R·F·戴利']",['游戏之夜 Game Night'],"['喜剧', '悬疑', '犯罪']",['7.1'],['48911'],[' 英语']
[' 韩国'],['郑多元'],['107'],[],"['罗美兰', '李圣经', '尹相铉', '崔秀英', '廉惠兰', '魏化儁', '朱宇宰', '姜宏硕', '金道完', '安昌焕', '李贞敏', '朴素恩', '赵炳奎', '成东日', '河正宇', '安宰弘']",['女警 걸캅스'],"['喜剧', '动作', '悬疑', '犯罪']",['6.8'],['21448'],[' 韩语']
[' 加拿大 / 美国'],"['马特·贝蒂内利-奥尔平', '泰勒·吉勒特']",['95'],[],"['萨玛拉·维文', '安迪·麦克道威尔', '马克·奥布莱恩', '亚当·布罗迪', '亨利·科泽尼', '妮基·瓜达尼', '梅兰妮·斯科洛凡诺', '克里斯蒂安·布鲁恩', '伊利斯·莱韦斯克', '约翰·拉尔斯顿', '达妮埃拉·巴博萨', '伊拉娜·盖尔', '安德鲁·安东尼']",['准备好了没 Ready or Not'],"['悬疑', '惊悚', '恐怖']",['6.7'],['53045'],[' 英语']
[' 中国大陆'],['陈思诚'],['121'],['02'],"['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤', '王迅', '妻夫木聪', '迈克尔·皮特', '白灵', '元华', '曾江', '王成思', '杨金赐', '范湉湉', '佟丽娅', '陈思诚']",['唐人街探案2'],"['喜剧', '动作', '悬疑']",['6.7'],['696084'],[' 汉语普通话']
[' 美国'],['克里斯托弗·兰登'],['100'],[],"['杰西卡·罗德', '伊瑟尔·布罗萨德', '露比·莫迪恩', '苏拉·沙玛', '史蒂夫·齐西斯', '瑞秋·马休斯', '查尔斯·艾特肯', '莎拉·亚金', '凯莱布·斯比尔亚兹', '吉吉·埃内塔', '劳拉·克利夫顿', '温迪·米克洛维奇', '凯勒布·拿奎恩', '肯尼斯·以色列', '泰内娅·因崔亚戈', '布莱恩·克恩', '川川', '卡瑞尔拉·史密斯', '罗布·梅洛', '林赛·G·史密斯', '飞·武', '莎拉·贝纳尼', '杰奎琳·哈里斯·马瑟恩', '西尔维娅·格雷丝·克里姆', '拉姆齐·安德森']",['忌日快乐2 Happy Death Day 2U'],"['悬疑', '惊悚', '恐怖']",['6.6'],['66934'],[' 英语']
[' 美国 / 日本 / 中国大陆'],['乔丹·皮尔'],['116'],[],"['露皮塔·尼永奥', '温斯顿·杜克', '伊丽莎白·莫斯', '蒂姆·海德克', '莎哈迪·赖特·约瑟夫', '伊万·艾利克斯', '叶海亚·阿卜杜勒-迈丁', '安娜·迪奥普', '卡莉·谢尔顿', '诺尔·谢尔顿', '麦迪逊·柯里', '纳皮埃拉·格罗夫斯', '杜克·尼科尔森', '内森·哈灵顿', '卡拉·海沃德']",['我们 Us'],"['悬疑', '惊悚']",['6.4'],['62549'],[' 英语']
[' 日本'],['中江和仁'],['118'],['01'],"['长泽雅美', '高桥一生', '内藤大湖', '川荣李奈', '黑木瞳', '吉田钢太郎']",['爱上谎言的女人 嘘を愛する女'],"['剧情', '悬疑']",['6.4'],['6670'],[' 日语']
